CO3,G,date
230.77,2.99,AprJun
230.09,4.07,AprJun
233.79,6.25,AprJun
235.86,7.34,AprJun
241.84,8.62,AprJun
248.27,9.36,AprJun
254.96,12.45,AprJun
259.80,14.45,AprJun
265.79,17.36,AprJun
271.09,19.54,AprJun
273.88,22.61,AprJun
194.12,7.55,JulSep
195.96,8.27,JulSep
197.34,8.28,JulSep
198.70,6.84,JulSep
201.01,8.11,JulSep
203.07,8.12,JulSep
205.14,8.13,JulSep
206.97,7.95,JulSep
205.61,9.21,JulSep
206.76,9.39,JulSep
208.14,9.58,JulSep
209.29,10.12,JulSep
210.21,10.67,JulSep
210.45,11.57,JulSep
212.07,12.84,JulSep
233.91,17.24,SepOct
256.46,23.45,SepOct
271.44,29.63,SepOct
289.48,42.49,SepOct
326.29,72.35,SepOct